title,permalink,layout,requires_auth
Applying SRFP,/wayfinder-leader-resources/applying-srfp/,eight-column,false
November Trip,/reachout/go/south-africa/november-trip3/,no-header-no-footer,false
Israel Ticket Giveaway,/easter/israel-ticket-giveaway/,eight-column,false
October Nepal Trip,/reachout/go/india/october-nepal-trip/,no-header-no-footer,false
Info Session,/reachout/go/info-session/,no-header-no-footer,false
moveup-hs,/studentministry/moveup-hs/,container-fluid,false
Crossroads Leadership Training–7 Get on Mission,/crossroads-leadership-training7-get-on-mission/,container-fluid,true
Goal of Wayfinder,/wayfinder-leader-resources/goal-of-wayfinder/,eight-column,false
Compassion,/compassion/,container-fluid,false
FAQs South Africa,/reachout/go/faqs/faqs-south-africa/,no-header-no-footer,false
October Trip,/reachout/go/india/october-trip/,no-header-no-footer,false
Super Bowl of Preaching,/superbowl/,container-fluid,false
Puerto Rico,/reachout/go/puerto-rico/,no-header-no-footer,false
Jobs,/jobs/,eight-column,false
Man Camp Why Camping,/mancamp/man-camp-why-camping/,container-fluid,false
June Educators Trip,/reachout/go/nicaragua/june-educators-trip/,no-header-no-footer,false
The Outlet at City Gospel Mission,/reachout/local/the-outlet/,container-fluid,false
Local,/reachout/local/,container-fluid,false
first impressions,/serve/first-impressions/,container-fluid,false
June Trip,/reachout/go/south-africa/june-trip/,no-header-no-footer,false
2016 Year in Review,/2016yearinreview/,eight-column,false
FAQs,/wayfinder-leader-resources/faqs/,container-fluid,false
Crossroads Leadership Get On Mission,/crossroads-leadership-training7-get-on-mission/,container,true
Israel Story,/israel-story/,container-fluid,false
March Trip,/reachout/go/south-africa/march-trip/,no-header-no-footer,false
I Am Journey Materials,/iamjourney2/materials-2/,container-fluid,false
New Orleans,/reachout/go/new-orleans/,no-header-no-footer,false
2017 Year in Review,/2017yearinreview/,eight-column,false
Man Camp Am I Cheating on my Church,/mancamp/man-camp-am-i-cheating-on-my-church/,container-fluid,false
I Am Journey,/iamjourney2/,container-fluid,false
God is for marriage and I am too! ,/couplescamp/god-is-for-marriage-and-i-am-too/,container-fluid,false
Woman Camp - Campsite Host,/womancamp/campsitehost/,container-fluid,false
Anywhere Resources,/anywhere-resources/,container,false
Wheels,/reachout/local/wheels/,container-fluid,false
Crossroads Leadership Reflection,/crossroads-leadership-training9-reflection-2/,container,true
Nicaragua,/reachout/go/nicaragua/,no-header-no-footer,false
UK Engage,/uk-engage/,container-fluid,false
videos,/groupleadersummit/videos/,container-fluid,false
FAQ,/anywhere-resources/faq/,container-fluid,false
Support Raising,/reachout/go/support-raising/,no-header-no-footer,false
Help,/help/,eight-column,false
Resources,/anywhere-resources/resources/,container-fluid,false
GO Houston Content,/go-houston-content/,container-fluid,false
I Used to Hide in Plain Sight. But Woman Camp is Freedom.,/womancamp/i-used-to-hide-in-plain-sight-but-woman-camp-is-freedom/,container-fluid,false
Coaches,/groups/coaches/,container-fluid,false
Crossroads Leadership Training–9 Reflection 2,/crossroads-leadership-training9-reflection-2/,container-fluid,true
November Trip,/reachout/go/nicaragua/november-trip/,no-header-no-footer,false
Man Camp Why You Should Go Back,/mancamp/man-camp-why-you-should-go-back/,container-fluid,false
four year olds,/preschool/four-year-olds/,container-fluid,false
Imploded Marriage. Now United.,/couplescamp/imploded-marriage-now-united/,container-fluid,false
Wayfinder Cheat Sheet,/wayfinder-leader-resources/wayfinder-cheat-sheet/,eight-column,false
Crossroads Leadership Get Some People,/crossroads-leadership-training6-get-some-people/,container,true
Signup Instructions | Go Local,/golocal/signup-instructions/,container,false
FAQ,/obsessed/faq/,container-fluid,false
Crossroads Leadership Training–5 Reflection 1,/crossroads-leadership-training5-reflection-1/,container-fluid,true
Real Encounters with God,/realencounters/,container-fluid,false
June Trip,/reachout/go/new-orleans/june-trip/,no-header-no-footer,false
When “Assumed” Became “Chosen” ,/womancamp/when-assumed-became-chosen/,container-fluid,false
"Man Camp Why Do I Need Pals, Anyway?",/mancamp/man-camp-why-do-i-need-pals-anyway/,container-fluid,false
Man Camp Courage,/mancamp/man-camp-courage/,container-fluid,false
Anywhere Resources Kids Club,/anywhere-resources/kids-club/,container,false
Man Camp THE COURAGE TO GET REAL,/mancamp/man-camp-the-courage-to-get-real/,container-fluid,false
Anywhere Resources Stories,/anywhere-resources/stories/,container,false
Group Leader Summit,/groupleadersummit/,container-fluid,false
Thanksgiving From a Poverty Perspective,/thanksgiving-from-a-poverty-perspective/,container-fluid,false
captive portal test,/captive-portal-test/,container-fluid,false
His Anger Meets Peace.,/couplescamp/his-anger-meets-peace/,container-fluid,false
Night of Prayer for the Wounded Heart,/woundedheart/,container-fluid,false
Man Camp Just Because,/mancamp/man-camp-just-because/,container-fluid,false
FAQs,/collegecamp/faqs/,eight-column,false
Following,/wayfinder-leader-resources/following/,container-fluid,false
Connect FAQ,/connect-faq/,eight-column,false
Easter Serve,/easter/serve/,container-fluid,false
Crossroads Partner Organizations | Go Local,/golocal/crossroads-partner-organizations/,container-fluid,false
What's Your I Am Statement,/whats-your-iam-statement/,container-fluid,false
FAQs,/reachout/go/faqs/,no-header-no-footer,false
Weekend Production,/serve/weekend-production-team/,container-fluid,false
Family | Mason,/family-mason/,container-fluid,false
"""Haiti""",/reachout/go/haiti/,no-header-no-footer,false
Middle School,/middleschool/,container-fluid,false
Super Bowl Live on Crossroads Anywhere!,/super-bowl-streaming/,container-fluid,false
Christmas Gift Drive Anywhere,/reachout/local/cgdanywhere/,container-fluid,false
Get Started,/getstarted/,container-fluid,false
"""MCX: YOU NEED A TRIBE""",/mancamp/you-need-a-tribe/,container-fluid,false
May Trip Puerto Rico,/reachout/go/puerto-rico/may-trip1/,no-header-no-footer,false
Groups,/groups/,container-fluid,false
survey,/survey/,container-fluid,false
October Trip 2019,/reachout/go/india/october-trip-2019/,no-header-no-footer,false
Couples Camp,/couplescamp/,container-fluid,false
Man Camp THE COURAGE TO TRUST MY FATHER AFTER MY FATHER DIED,/mancamp/man-camp-the-courage-to-trust-my-father-after-my-father-died/,container-fluid,false
go-signin,/go-signin/,no-header-no-footer,false
Summer Camp FAQ,/summercamp/faq,container-fluid,false
Thanksgiving Food Drive,/reachout/local/thanksgiving-food-drive/,container-fluid,false
ticket-giveaway,/superbowl/ticket-giveaway/,container-fluid,false
Crossroads Leadership Training–8 Story Time 1,/crossroads-leadership-training8-story-time-1/,container-fluid,true
Leader Overview,/groups/leader-overview/,container-fluid,false
June Trip 2,/reachout/go/bolivia/june-trip-2/,no-header-no-footer,false
Cards FOR Humanity,/cardsforhumanity/,container-fluid,false
Man Camp Just how churchy is this thing?,/mancamp/man-camp-just-how-churchy-is-this-thing/,container-fluid,false
I Let Go of My Fear ,/womancamp/i-let-go-of-my-fear/,container-fluid,false
South Africa,/reachout/go/south-africa/,no-header-no-footer,false
May Trip,/reachout/go/south-africa/may-trip/,no-header-no-footer,false
June Trip 2,/reachout/go/south-africa/june-trip-2/,no-header-no-footer,false
eWIT,/reachout/local/ewit/,container-fluid,false
July Trip,/reachout/go/nicaragua/july-trip/,no-header-no-footer,false
Engage,/uptown/engage/,container-fluid,false
Engage,/oxford/engage/,container-fluid,false
Crossroads Leadership Training Get Your Orders,/crossroads-leadership-training4-get-your-orders/,container,true
Prison Ministry,/reachout/local/prison-ministry/,container-fluid,false
Budget,/strategy/,container-fluid,false
Leader Resources,/groups/leader/resources/,container-fluid,false
FAQs Puerto Rico,/reachout/go/faqs/faqs-puerto-rico/,no-header-no-footer,false
October Trip,/reachout/go/south-africa/october-trip/,no-header-no-footer,false
ask me who loves me,/ask-me-who-loves-me/,container-fluid,false
Group Leader Calendar,/groups/leader/resources/group-leader-calendar/,container-fluid,false
Crossroads Leadership Training Get To Leading,/crossroads-leadership-training12-get-to-leading/,container,true
How to Move when you get Stuck,/wayfinder-leader-resources/how-to-move-when-you-get-stuck/,container-fluid,false
Worship Training,/worshiptraining/,no-header-no-footer,false
Man Camp The Courage to Carry On,/mancamp/man-camp-courage-to-carry-on/,container-fluid,false
Man Camp Why do I want to be part of this macho crap?,/mancamp/man-camp-why-do-i-want-to-be-part-of-this-macho-crap/,container-fluid,false
Anywhere Resources Serving,/anywhere-resources/serving/,container,false
Kentucky Refugee Ministry,/reachout/local/kentucky-refugee-ministry/,container-fluid,false
Man Camp I Think I Want To Go BUT...,/mancamp/man-camp-i-think-i-want-to-go-but/,container-fluid,false
"I Belong, Now",/womancamp/i-belong-now/,container-fluid,false
BLOC Ministries,/reachout/local/bloc/,container-fluid,false
Crossroads Leadership Training–11 Story Time 2,/crossroads-leadership-training11-story-time-2/,container-fluid,true
What does camping have to do with my marriage?,/couplescamp/what-does-camping-have-to-do-with-my-marriage/,container-fluid,false
KIds Club Concert,/kcconcert/,container-fluid,false
Giving,/giving/,container-fluid,false
About Spark,/spark/about/,container-fluid,false
October Trip 2019,/reachout/go/bolivia/october-trip-2019/,no-header-no-footer,false
Summer Camp,/summercamp/,container-fluid,false
Crossroads Leadership Training–12 Get to Leading,/crossroads-leadership-training12-get-to-leading/,container-fluid,true
audition,/worshiptraining/audition/,no-header-no-footer,false
Easter Music,/eastermusic/,container-fluid,false
Camp Payments,/camp-payments/,container-fluid,false
June Trip,/reachout/go/nicaragua/june-trip/,no-header-no-footer,false
FAQs New Orleans,/reachout/go/faqs/faqs-new-orleans/,no-header-no-footer,false
Crossroads Leadership Training–4 Get your Orders,/crossroads-leadership-training4-get-your-orders/,container-fluid,true
HS Camps,/hs-camps/,container-fluid,false
groups UP,/groups/groups-up/,container-fluid,false
Bolivia,/reachout/go/bolivia/,no-header-no-footer,false
groups IN,/groups/groups-in/,container-fluid,false
Seeking,/wayfinder-leader-resources/seeking/,container-fluid,false
student ministry,/serve/student-ministry/,container-fluid,false
NOT a Camper. Wrecked and Amazed.,/couplescamp/not-a-camper-wrecked-and-amazed/,container-fluid,false
Crossroads Leadership Training–6 Get some People,/crossroads-leadership-training6-get-some-people/,container-fluid,true
Invite People to Your Group,/groups/leader/resources/invitingpeople/,container,false
Baptism,/baptism/,container,false
Crossroads Leadership Training,/crossroads-leadership-training2-you-as-a-disciple/,container,true
FAQ | Go Local,/golocal/faq,container,false
Resources,/groups/resources/,container-fluid,false
HR,/hr/,container-fluid,false
June Trip,/reachout/go/india/june-trip/,no-header-no-footer,false
"""MCX: BECAUSE WE'RE SOFT""",/mancamp/because-were-soft/,container-fluid,false
Go Local,/golocal/,container-fluid,false
July Trip,/reachout/go/india/july-trip/,no-header-no-footer,false
Wedding Resources,/care/weddings/wedding-resources/,eight-column,false
Crossroads Leadership Training Get Some Rhythms,/crossroads-leadership-training10-get-some-rhythms/,container,true
Your Role,/wayfinder-leader-resources/your-role/,container-fluid,false
groups GETTING STARTED,/groups/groups-getting-started/,container-fluid,false
Adventure Ride,/adv/,container-fluid,false
The Business of Success,/the-business-of-success/,container-fluid,false
Before Woman Camp,/beforewomancamp/,container-fluid,false
Safe Families,/reachout/local/safe-families/,container-fluid,false
Crossroads Leadership Training Reflection,/crossroads-leadership-training5-reflection-1/,container,true
Journey Materials,/obsessed/materials/,container-fluid,false
Our Superficial Was Stripped Away,/womancamp/our-superficial-was-stripped-away/,container-fluid,false
Producing,/wayfinder-leader-resources/producing/,container-fluid,false
Undivided Next Steps,/undivided/undivided-next-steps/,container,false
The New Mind Postcard,/newmind/thanks/,container-fluid,false
Natural Discipleship,/wayfinder-leader-resources/natural-discipleship/,container-fluid,false
Thanksgiving Day Fall Feast,/reachout/local/thanksgiving-day-fall-feast/,container-fluid,false
Week of Prayer & Fasting,/prayerandfasting/,container-fluid,false
Staff Contacts,/staffcontacts/,eight-column,false
The Academy,/reachout/local/the-academy/,container-fluid,false
May Trip 2 Puerto Rico,/reachout/go/puerto-rico/may-trip2/,no-header-no-footer,false
October Trip,/reachout/go/bolivia/october-trip/,no-header-no-footer,false
I Used to Pray for Strength to Leave My Wife.,/couplescamp/i-used-to-pray-for-strength-to-leave-my-wife/,container-fluid,false
Bar. Sex. Fruit.,/couplescamp/bar-sex-fruit/,container-fluid,false
Christmas Gift Drive,/reachout/local/christmas-gift-drive/,container-fluid,false
coffee,/coffee/,container-fluid,false
moveup-msm,/studentministry/moveup-msm/,container-fluid,false
Family Meeting,/familymeeting/,container-fluid,false
Receiving,/wayfinder-leader-resources/receiving/,container-fluid,false
"""MCX: CAN I EVEN DO THIS""",/mancamp/can-i-even-do-this/,container-fluid,false
Reachout,/reachout/,container-fluid,false
100 Day Plan,/100dayplan/,eight-column,false
Music of Awaited,/musicofawaited/,container-fluid,false
kids club,/serve/kids-club/,container-fluid,false
Marketing,/marketing/,container-fluid,false
October Trip 2 2019,/reachout/go/india/october-trip-2-2019/,no-header-no-footer,false
Man Camp What’s up with booze at a Church Camp?,/mancamp/man-camp-whats-up-with-booze-at-a-church-camp/,container-fluid,false
"""MCX: YOU NEED A WAR STORY""",/mancamp/you-need-a-war-story/,container-fluid,false
Go,/reachout/go/,no-header-no-footer,false
Resubscribe,/resubscribe/,eight-column,false
two year olds,/preschool/two-year-olds/,container-fluid,false
Crossroads Leadership Training–1 Intro,/crossroads-leadership-training/,container-fluid,true
Crossroads Leadership Training,/crossroads-leadership-training/,container,false
Download Cards For Humanity,/cardsforhumanity/download-cards-for-humanity/,container-fluid,true
Mirrors of Truth,/womancamp/mirrors-of-truth/,container-fluid,false
Next BIG Thing FAQ,/big/next-big-thing-faq/,container,false
August Trip 2,/reachout/go/south-africa/august-trip-2/,no-header-no-footer,false
Super Bowl Volunteers,/superbowlvolunteers/,container-fluid,false
I'm In Celebration,/imincelebration/,container-fluid,false
August Trip,/reachout/go/south-africa/august-trip/,no-header-no-footer,false
"Divorced, Remarried, Went to Camp.",/couplescamp/divorced-remarried-went-to-camp/,container-fluid,false
BIG,/big/,container-fluid,false
Crossroads Leadership Training Get In The Swing,/crossroads-leadership-training3-get-in-the-swing/,container,true
College Camp,/collegecamp/,container-fluid,false
FAQs India,/reachout/go/faqs/faqs-india/,no-header-no-footer,false
I Am ____,/i-am-statement/,container-fluid,false
"I Came Exhausted, Left Transformed",/womancamp/i-came-exhausted-left-transformed/,container-fluid,false
Camp Songs Vol. 1,/camp-songs-vol-1/,no-header-no-footer,false
FAQs,/mancamp/faqs/,eight-column,false
Crossroads Leadership Training–2 Follow First,/crossroads-leadership-training2-you-as-a-disciple/,container-fluid,true
groups OUT,/groups/groups-out/,container-fluid,false
India,/reachout/go/india/,no-header-no-footer,false
Serve,/serve/,container-fluid,false
Man Camp Why Your Buddy Needs It,/mancamp/man-camp-why-your-buddy-needs-it/,container-fluid,false
CityLink,/reachout/local/citylink/,container-fluid,false
Path to Healing,/pathtohealing/,container-fluid,false
Together,/together/,container-fluid,false
FAQs Nicaragua,/reachout/go/faqs/faqs-nicaragua/,no-header-no-footer,false
May Trip,/reachout/go/india/may-trip/,no-header-no-footer,false
Signup Instructions | Go Local,/golocal/about/,container,false
Leading from Here to There,/wayfinder-leader-resources/leading-from-here-to-there/,eight-column,false
Undivided,/undivided/,container-fluid,false
Leader Update,/groups/leader/leader-update/,container-fluid,false
App,/app/,container-fluid,false
Real Encounters with God,/real/,container-fluid,false
November Trip,/reachout/go/south-africa/november-trip/,no-header-no-footer,false
Share Your Story,/shareyourstory/,eight-column,false
April Trip,/reachout/go/bolivia/april-trip/,no-header-no-footer,false
Family Convo,/familyconvo/,container-fluid,false
Obsessed,/obsessed/,container-fluid,false
Discover Other Opportunities | Go Local,/golocal/discover-other-opportunities,container,false
The New Mind Postcard,/newmind/,container-fluid,false
Don't Know What To Do,/wayfinder-leader-resources/dont-know-what-to-do/,container-fluid,false
MAN CAMP,/mancamp/,container-fluid,false
Woman Camp,/womancamp/,container-fluid,false
Easter,/easter/,container-fluid,false
Contact | Go Local,/golocal/contact,container,false
Student Ministry,/studentministry/,container-fluid,false
Leader Resources,/groups/leader/resources2/,container-fluid,false
Man Camp THE COURAGE TO JUST BE ME,/mancamp/man-camp-the-courage-to-just-be-me/,container-fluid,false
Preschool,/preschool/,container-fluid,false
Camps,/camps/,container-fluid,false
GO India Newsletter - July 2018,/go-india-newsletter-july-2018/,container-fluid,false
four year olds - full week,/preschool/four-year-olds-full-week/,container-fluid,false
High School,/highschool/,container-fluid,false
Wayfinder Leader Resources,/wayfinder-leader-resources/,container-fluid,false
Crossroads Leadership Training–10 Get some Rhythms,/crossroads-leadership-training10-get-some-rhythms/,container-fluid,true
Coalition to End Child Sexual Abuse (CECSA),/cecsa/,container-fluid,false
Crossroads Leadership Training–3 Get in the Swing,/crossroads-leadership-training3-get-in-the-swing/,container-fluid,true
Atrium Events,/atriumevents,default,false
Ash Wednesday Experience,/ash-wednesday-experience/,no-header-no-footer,false
Family Meeting Stream,/family-meeting-stream/,container-fluid,false
Spark,/spark/,container-fluid,false
Anywhere Resources FAQs,/anywhere-resources/faq/,container,false
Whiz Kids,/reachout/local/whiz-kids/,container-fluid,false
Christmas at Home,/christmasday/,container-fluid,false
June Trip,/reachout/go/bolivia/june-trip/,no-header-no-footer,false
March Trip,/reachout/go/nicaragua/march-trip/,no-header-no-footer,false
Invite People to Your Group,/groups/leader/resources/invitingpeople/,container-fluid,false
"MCX Warning, it's Gonna be Hard",/mancamp/man-camp-its-gonna-be-hard/,container-fluid,false
Oakley Connect,/oakley-connect/,container-fluid,false
The Diner,/reachout/local/the-diner/,container-fluid,false
Explore,/explore,default,false
Encounter Israel,/encounterisrael/,container-fluid,false
In the News,/inthenews/,eight-column,false
serve101,/serve101/,container-fluid,false
three year olds,/preschool/three-year-olds/,container-fluid,false
Create a Commitment,/commitment/,container-fluid,false
"Seriously, Camping? Here’s Our WHY. ",/womancamp/seriously-camping-heres-our-why/,container-fluid,false
Anywhere Resources,/anywhere-resources/resources/,container,false
Anywhere Resources Service Guides,/anywhere-resources/service-guides/,container,false
Manifesto,/manifesto/,container-fluid,false
All Trips,/reachout/go/all-trips/,no-header-no-footer,false
